phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7338521,https://www4.meecrcnaroi.com/,http://www.phishtank.com/phish_detail.php?phish_id=7338521,2021-11-04T06:12:47+00:00,yes,2021-11-04T06:16:43+00:00,yes,Other
7338520,https://www4.mneererarri.com/,http://www.phishtank.com/phish_detail.php?phish_id=7338520,2021-11-04T06:10:02+00:00,yes,2021-11-04T06:16:43+00:00,yes,Other
7338518,https://www3.mcercorarci.com/,http://www.phishtank.com/phish_detail.php?phish_id=7338518,2021-11-04T06:05:39+00:00,yes,2021-11-04T06:16:43+00:00,yes,Other
7338517,https://www3.mneererarri.com/,http://www.phishtank.com/phish_detail.php?phish_id=7338517,2021-11-04T06:03:35+00:00,yes,2021-11-04T06:16:43+00:00,yes,Other
7338516,https://www5.mneererarri.com/,http://www.phishtank.com/phish_detail.php?phish_id=7338516,2021-11-04T06:01:03+00:00,yes,2021-11-04T06:16:43+00:00,yes,Other
7338512,https://www.jp.mneererarri.com/,http://www.phishtank.com/phish_detail.php?phish_id=7338512,2021-11-04T05:56:01+00:00,yes,2021-11-04T06:16:43+00:00,yes,Other
7338511,https://policlinicabucodental.es/wp-content/aam/SWlSSPOST/Seleccione_medio_de_pago.php,http://www.phishtank.com/phish_detail.php?phish_id=7338511,2021-11-04T05:55:36+00:00,yes,2021-11-04T06:16:43+00:00,yes,Other
7338509,https://iredia-idahosa.cabanova.com/index.html,http://www.phishtank.com/phish_detail.php?phish_id=7338509,2021-11-04T05:55:34+00:00,yes,2021-11-04T06:16:43+00:00,yes,Other
7338508,https://www.etc-meisai.iopybcn.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7338508,2021-11-04T05:54:15+00:00,yes,2021-11-04T05:56:17+00:00,yes,Other
7338507,https://www5.meecrcnaroi.com/,http://www.phishtank.com/phish_detail.php?phish_id=7338507,2021-11-04T05:52:36+00:00,yes,2021-11-04T05:56:18+00:00,yes,Other
7338506,https://www2.meecrcnaroi.com/,http://www.phishtank.com/phish_detail.php?phish_id=7338506,2021-11-04T05:49:04+00:00,yes,2021-11-04T05:56:18+00:00,yes,Other
7338505,https://smbc.card-s-co.net/m,http://www.phishtank.com/phish_detail.php?phish_id=7338505,2021-11-04T05:48:16+00:00,yes,2021-11-04T05:56:18+00:00,yes,Other
7338504,https://www2.mcercorarci.com/,http://www.phishtank.com/phish_detail.php?phish_id=7338504,2021-11-04T05:46:08+00:00,yes,2021-11-04T05:56:18+00:00,yes,Other
7338502,https://www.jp.mceercoarei.com/,http://www.phishtank.com/phish_detail.php?phish_id=7338502,2021-11-04T05:42:02+00:00,yes,2021-11-04T05:48:27+00:00,yes,Other
7338501,https://smbc.card-o.net/m,http://www.phishtank.com/phish_detail.php?phish_id=7338501,2021-11-04T05:41:28+00:00,yes,2021-11-04T05:48:27+00:00,yes,Other
7338500,https://ymxpi5.shop/login.php,http://www.phishtank.com/phish_detail.php?phish_id=7338500,2021-11-04T05:39:17+00:00,yes,2021-11-04T05:48:27+00:00,yes,Other
7338499,https://www2.mceercoarei.com/,http://www.phishtank.com/phish_detail.php?phish_id=7338499,2021-11-04T05:35:51+00:00,yes,2021-11-04T05:40:17+00:00,yes,Other
7338498,https://smbc.card-q.net/m,http://www.phishtank.com/phish_detail.php?phish_id=7338498,2021-11-04T05:32:55+00:00,yes,2021-11-04T05:40:17+00:00,yes,Other
